bin,bin.prob,lower.bin.bound,upper.bin.bound
1,0.0086238643,-0.5703968373,-0.4079119216
2,0.0090114199,-0.4079119216,-0.2970435258
3,0.0107611599,-0.2970435258,-0.1520143439
4,0.0136777597,-0.1520143439,-0.0539685943
5,0.016639379,-0.0539685943,-0.0252981
6,0.8901801269,-0.0252981,0.01963542
7,0.017470472,0.01963542,0.0683707413
8,0.0079142839,0.0683707413,0.08283007
9,0.0079054832,0.08283007,0.2961083803
10,0.0067204565,0.2961083803,0.3659302491
11,0.0061458546,0.3659302491,0.4013524795
12,0.0049497398,0.4013524795,0.5067089374
