,bin,bin.prob,lower.bin.bound,upper.bin.bound
1,1,0.0086238643,0.1663921358,0.325352552
2,2,0.0090114199,0.0882348562,0.1663921358
3,3,0.0107611599,0.0231083608,0.0882348562
4,4,0.0136777597,0.0029126092,0.0231083608
5,5,0.016639379,0.0006399939,0.0029126092
6,6,0.8901801269,0.0003855497,0.0006399939
7,7,0.017470472,0.0046745583,0.0003855497
8,8,0.0079142839,0.0068608205,0.0046745583
9,9,0.0079054832,0.0876801729,0.0068608205
10,10,0.0067204565,0.1339049472,0.0876801729
11,11,0.0061458546,0.1610838128,0.1339049472
12,12,0.0049497398,0.2567539472,0.1610838128
